BGRI11,BGRI11_M1LABELS_LP_AdjMatGeoNetDist
01050100510,5.0
01050100512,5.0
01050100701,4.0
01051201803,43.0
01050201005,7.0
01050200604,7.0
01050501104,63.0
01050600101,80.0
01051200904,45.0
01050600404,31.0
01050600701,57.0
01050600902,108.0
01050100204,3.0
01050600808,29.0
01050600901,28.0
01051000303,21.0
01050500606,17.0
01050500901,84.0
01050500706,20.0
01050500801,20.0
01050500605,84.0
01050500604,17.0
01100300101,48.0
01050500406,59.0
01050500705,20.0
01051201505,106.0
01051201408,40.0
01050600201,31.0
01051201407,40.0
01050501606,63.0
01100300108,48.0
01051201504,41.0
01051201503,41.0
01100300314,48.0
01100300703,122.0
01050501806,63.0
01100300505,122.0
01051201406,40.0
01051201307,41.0
01100300702,122.0
01100300604,122.0
01051201306,41.0
01051201204,42.0
01100300313,48.0
01100300403,48.0
01100300603,122.0
01050501914,60.0
01051201502,41.0
01051201005,43.0
01051201405,40.0
01051201404,40.0
01051201403,40.0
01051201305,41.0
01051201304,41.0
01050501704,45.0
01051201303,40.0
01100300107,48.0
01051201402,102.0
01051200113,40.0
01100300312,48.0
01100300402,48.0
01050501913,60.0
01051201004,107.0
01051201108,106.0
01051201501,41.0
01051201203,41.0
01051200112,40.0
01100300311,48.0
01100300310,48.0
01051201302,41.0
01100300309,48.0
01050501912,60.0
01051201401,102.0
01100300801,49.0
01100300701,122.0
01100300504,122.0
01100300503,122.0
01100300502,122.0
01100300602,122.0
01051200111,41.0
01050501302,82.0
01050501107,63.0
01050501405,14.0
01050501404,14.0
01050501202,18.0
01051200204,101.0
01051200301,63.0
01051200203,101.0
01050501403,18.0
01051200202,63.0
01050501106,63.0
01051200201,101.0
01100300201,121.0
01050501402,59.0
01050500511,84.0
01050501401,59.0
01050501301,59.0
01100302209,81.0
01050601607,30.0
01100302406,50.0
01050601606,30.0
01100302208,50.0
01100200402,81.0
01050601605,30.0
01050400101,116.0
01050601006,21.0
01050400505,116.0
01051000101,64.0
01100302405,50.0
01050600905,108.0
01050400706,116.0
01051301011,11.0
01051300906,65.0
01051301203,129.0
01050400705,116.0
01051300805,67.0
01051301202,129.0
01050601106,64.0
01050601802,25.0
01050601004,21.0
01050601801,27.0
01050601602,27.0
01100302312,50.0
01051301008,11.0
01100302403,50.0
01100302311,50.0
01100302310,118.0
01051300904,37.0
01051300804,67.0
01051301102,67.0
01100301909,50.0
01100302309,118.0
01100200401,51.0
01100302308,118.0
01100302205,50.0
01100301908,50.0
01050601105,64.0
01100302115,50.0
01100400108,53.0
01050400205,96.0
01100302402,50.0
01100301710,50.0
01100200217,119.0
01100200111,122.0
01051300709,130.0
01051300902,37.0
01100200110,49.0
01100301704,50.0
01100302107,118.0
01100302008,118.0
01050400215,96.0
01050601303,24.0
01051300802,90.0
01050601302,104.0
01050601206,24.0
01050601205,24.0
01050601301,104.0
01050600708,104.0
01100302007,118.0
01050400203,96.0
01100302106,118.0
01050400213,11.0
01100301906,50.0
01100302006,118.0
01100301905,50.0
01050601204,111.0
01050601203,24.0
01050800507,70.0
01050101311,2.0
01100401803,75.0
01100401707,78.0
01050800609,4.0
01100400614,131.0
01100401612,77.0
01050101310,2.0
01100401611,75.0
01050101207,4.0
01050800412,70.0
01100401610,75.0
01100401802,76.0
01100401609,75.0
01050101206,4.0
01050101309,2.0
01100401608,77.0
01050900112,99.0
01100401903,56.0
01100100116,123.0
01050101205,4.0
01050800506,70.0
01050900111,127.0
01100401004,78.0
01050101308,2.0
01100401706,78.0
01050800411,70.0
01100100115,123.0
01050900110,69.0
01050101307,4.0
01100401705,78.0
01050101306,2.0
01100401902,52.0
01100401003,78.0
01050800608,126.0
01100100114,123.0
01100401607,75.0
01100100113,123.0
01050800410,126.0
01100100201,123.0
01100401606,75.0
01050101305,2.0
01100401901,75.0
01050800409,70.0
01100401801,75.0
01100400613,131.0
01050900107,127.0
01100400610,77.0
01100100112,123.0
01051400118,32.0
01100100111,123.0
01050101304,2.0
01100401605,75.0
01100100110,123.0
01100401704,52.0
01050800408,126.0
01050900109,127.0
01050900108,127.0
01050101303,4.0
01100100109,123.0
01100401703,52.0
01050101120,2.0
01100401506,75.0
01050800407,70.0
01100100108,123.0
01100401604,75.0
01050800514,70.0
01050101302,2.0
01100401702,78.0
01050800406,126.0
01100401701,78.0
01100401603,75.0
01100400612,131.0
01050800404,70.0
01050101118,52.0
01100401505,52.0
01050800505,70.0
01100401504,52.0
01100401602,75.0
01050800504,70.0
01050900202,70.0
01100400611,131.0
01050101301,4.0
01100401405,75.0
01050900106,99.0
01050101117,2.0
01050101119,4.0
01100401404,75.0
01050900105,99.0
01100401503,52.0
01100401310,75.0
01050101116,52.0
01100401601,77.0
01100401502,52.0
01100100107,123.0
01100100106,123.0
01100401403,75.0
01100401308,75.0
01050101115,52.0
01100401402,75.0
01100400909,52.0
01050101204,4.0
01050800503,70.0
01100401501,52.0
01050101114,52.0
01050900104,99.0
01100401307,75.0
01050101113,4.0
01050101009,4.0
01100401401,75.0
01050101008,4.0
01050101112,4.0
01050101111,4.0
01100100104,123.0
01100401205,52.0
01050101203,4.0
01100401306,53.0
01100401305,53.0
01100400607,131.0
01100401204,52.0
01050101202,126.0
01100401304,75.0
01050900218,70.0
01100401309,75.0
01100100105,123.0
01100400908,52.0
01050101007,4.0
01050900103,99.0
01050800502,70.0
01050101110,4.0
01050800405,36.0
01100401303,53.0
01050900102,99.0
01100400907,52.0
01100401203,53.0
01050900217,127.0
01050101109,52.0
01100400202,81.0
01050300123,117.0
01100200601,81.0
01050100509,3.0
01050100304,108.0
01050200307,112.0
01051200114,44.0
01100302318,50.0
01050601108,21.0
01050400802,116.0
01100200404,81.0
01050400504,116.0
01050601604,58.0
01100302317,50.0
01051301010,11.0
01100302316,50.0
01100200302,119.0
01100302315,50.0
01050601005,21.0
01050600904,108.0
01100302314,50.0
01051300905,37.0
01050600903,108.0
01050601701,30.0
01050601104,30.0
01051300903,37.0
01050601306,30.0
01100302306,118.0
01100302204,50.0
01050400703,116.0
01050601505,27.0
01050601003,64.0
01050601404,27.0
01050601002,125.0
01100302305,118.0
01100302114,50.0
01050601504,30.0
01100301709,50.0
01050400502,116.0
01051301006,11.0
01050400204,96.0
01100302203,50.0
01050601503,25.0
01051301201,130.0
01100301708,50.0
01050601403,27.0
01051301005,130.0
01100302401,86.0
01051301007,11.0
01050400704,116.0
01100302307,50.0
01100302202,50.0
01050601103,64.0
01100302304,118.0
01051301101,67.0
01100302113,50.0
01100301904,50.0
01050601202,24.0
01100302005,118.0
01051300707,130.0
01100302004,118.0
01100302105,55.0
01100302003,118.0
01100200109,49.0
01100301703,50.0
