BGRI11,Cluster_LP,area
1050100510,5,0.141979
1050100512,5,0.141979
1051201803,45,0.0487027
1050501104,163,0.0555703
1050600101,80,0.0476566
1051200904,45,0.0487027
1050600404,31,0.0108943
1050600701,57,0.0753825
1050600902,108,0.135363
1050100204,3,0.0242865
1050600808,29,0.156809
1050600901,28,0.336548
1051000303,21,0.0491968
1050500406,59,0.10524
1051201505,106,0.0118012
1051201408,40,0.00219366
1050600201,40,0.00219366
1051201407,40,0.00219366
1050501606,63,0.0555703
1051201504,41,0.00320417
1051201503,41,0.00320417
1050501806,63,0.0555703
1051201406,40,0.00219366
1051201307,41,0.00320417
1051201306,41,0.00320417
1051201204,42,0.0093428
1051201502,41,0.00320417
1051201005,161,0.0937824
1051201405,40,0.00219366
1051201404,40,0.00219366
1051201403,40,0.00219366
1051201305,41,0.00320417
1051201304,41,0.00320417
1050501704,45,0.0487027
1051201303,159,0.00219366
1051201402,102,0.00204292
1051200113,40,0.00219366
1051201004,166,0.0105209
1051201108,106,0.0118012
1051201501,41,0.00320417
1051201203,160,0.00320417
1051200112,40,0.00219366
1051201302,41,0.00320417
1051201401,102,0.00204292
1051200111,41,0.00320417
1050501302,82,0.00271722
1050501107,163,0.0555703
1050501405,14,0.0186518
1050501404,14,0.0186518
1050501202,18,0.00989636
1051200204,101,0.027252
1051200301,163,0.0555703
1051200203,101,0.027252
1050501403,18,0.00989636
1051200202,163,0.0555703
1050501106,163,0.0555703
1051200201,101,0.027252
1050501402,59,0.10524
1050501401,59,0.10524
1050501301,59,0.10524
1050601607,30,0.00303546
1050601606,30,0.00303546
1050601605,30,0.00303546
1050601006,21,0.0491968
1051000101,154,0.00414438
1050600905,108,0.135363
1051300906,65,0.0270539
1051300805,67,0.0387496
1050601106,164,0.00414438
1050601802,25,0.0221282
1050601004,21,0.0491968
1050601801,27,0.00436561
1050601602,27,0.00436561
1051300904,37,0.0215941
1051300804,67,0.0387496
1051301102,67,0.0387496
1050601105,164,0.00414438
1051300902,37,0.0215941
1050601303,24,0.0105746
1051300802,90,0.0551099
1050601302,104,0.0352149
1050601206,24,0.0105746
1050601205,24,0.0105746
1050601301,104,0.0352149
1050600708,104,0.0352149
1050601204,111,0.0111398
1050601203,24,0.0105746
1050100509,3,0.0242865
1050601108,21,0.0491968
1050601604,58,0.0516226
1050601005,21,0.0491968
1050600904,108,0.135363
1051300905,37,0.0215941
1050600903,108,0.135363
1050601701,30,0.00303546
1050601104,158,0.00303546
1051300903,37,0.0215941
1050601306,151,0.00303546
1050601505,27,0.00436561
1050601003,164,0.00414438
1050601404,27,0.00436561
1050601002,125,0.180121
1050601504,30,0.00303546
1050601503,25,0.0221282
1050601403,27,0.00436561
1050601103,164,0.00414438
1051301101,67,0.0387496
1050601202,24,0.0105746
1050600707,24,0.0105746
1051300606,150,0.00414438
1050601201,111,0.0111398
1050600706,104,0.0352149
1050600111,22,0.00153693
1051300605,67,0.0387496
1050601101,164,0.00414438
1051300604,150,0.00414438
1050601502,25,0.0221282
1050601501,25,0.0221282
1050601402,24,0.0105746
1050601601,24,0.0105746
1051300803,67,0.0387496
1050600705,104,0.0352149
1050600807,111,0.0111398
1050600806,24,0.0105746
1050600805,24,0.0105746
1050601001,37,0.0215941
1050600110,22,0.00153693
1050600804,24,0.0105746
1050600704,104,0.0352149
1050600513,24,0.0105746
1051300407,66,0.0121473
1050600109,22,0.00153693
1050600803,111,0.0111398
1050600512,104,0.0352149
1050600108,22,0.00153693
1050600802,111,0.0111398
1051300305,150,0.00414438
1050600801,111,0.0111398
1050600511,104,0.0352149
1051300508,66,0.0121473
1051300603,66,0.0121473
1050600607,111,0.0111398
1051300602,150,0.00414438
1051300304,150,0.00414438
1050600606,111,0.0111398
1050600510,26,0.00507752
1050600107,22,0.00153693
1050600509,104,0.0352149
1051300406,90,0.0551099
1050600106,22,0.00153693
1050600605,111,0.0111398
1050600105,22,0.00153693
1050600508,111,0.0111398
1050600604,111,0.0111398
1050600703,43,0.0937824
1050600104,22,0.00153693
1051201813,45,0.0487027
1051300901,37,0.0215941
1051300801,67,0.0387496
1050100508,5,0.141979
1051000304,21,0.0491968
1050100110,64,0.00414438
1050100403,64,0.00414438
1050100507,3,0.0242865
1050100506,3,0.0242865
