BGRI11;BGRI11_M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_AfterLABEL1
01050100101;30;10366_
01050100102;58;18482_
01050100103;58;18482_
01050100104;3;10334_
01050100105;58;18482_
01050100106;58;18482_
01050100107;3;10334_
01050100108;58;18482_
01050100109;3;10334_
01050100201;4;10335_
01050100202;30;10366_
01050100203;30;10366_
01050100204;3;10334_
01050100301;79;18506_
01050100302;108;18664_
01050100303;108;18664_
01050100304;108;18664_
01050100305;79;18506_
01050100306;79;18506_
01050100307;79;18506_
01050100308;79;18506_
01050100309;79;18506_
01050100310;79;18506_
01050100311;79;18506_
01050100312;79;18506_
01050100313;79;18506_
01050100314;79;18506_
01050100315;79;18506_
01050100316;79;18506_
01050100401;21;10355_10381_
01050100402;21;10355_10381_
01050100403;21;10355_10381_
01050100404;5;10336_18672_
01050100406;21;10355_10381_
01050100408;5;10336_18672_
01050100409;5;10336_18672_
01050100410;5;10336_18672_
01050100411;5;10336_18672_
01050100413;5;10336_18672_
01050100414;5;10336_18672_
01050100415;0;10331_
01050100501;79;18506_
01050100502;1;10332_10379_
01050100503;1;10332_10379_
01050100504;79;18506_
01050100505;4;10335_
01050100506;58;18482_
01050100507;3;10334_
01050100508;4;10335_
01050100509;3;10334_
01050100510;64;18491_20836_
01050100511;5;10336_18672_
01050100512;5;10336_18672_
01050100513;5;10336_18672_
01050100601;5;10336_18672_
01050100602;5;10336_18672_
01050100603;5;10336_18672_
01050100604;5;10336_18672_
01050100605;0;10331_
01050100607;5;10336_18672_
01050100608;0;10331_
01050100610;5;10336_18672_
01050100611;5;10336_18672_
01050100612;5;10336_18672_
01050100614;5;10336_18672_
01050100615;5;10336_18672_
01050100701;4;10335_
01050100703;4;10335_
01050100704;4;10335_
01050100705;4;10335_
01050100706;4;10335_
01050100707;4;10335_
01050100708;4;10335_
01050100709;4;10335_
01050100710;4;10335_
01050100711;4;10335_
01050100712;79;18506_
01050100713;4;10335_
01050100714;4;10335_
01050100715;4;10335_
01050100801;4;10335_
01050100802;4;10335_
01050100803;5;10336_18672_
01050100804;4;10335_
01050100805;4;10335_
01050100807;4;10335_
01050100809;2;10333_10373_
01050100810;2;10333_10373_
01050100811;4;10335_
01050100813;4;10335_
01050100814;4;10335_
01050100815;4;10335_
01050100816;4;10335_
01050100902;4;10335_
01050100903;4;10335_
01050100904;4;10335_
01050100907;4;10335_
01050100909;4;10335_
01050100910;4;10335_
01050100911;4;10335_
01050100912;4;10335_
01050100913;4;10335_
01050100914;4;10335_
01050101002;2;10333_10373_
01050101003;4;10335_
01050101005;2;10333_10373_
01050101006;2;10333_10373_
01050101007;2;10333_10373_
01050101008;2;10333_10373_
01050101009;2;10333_10373_
01050101101;4;10335_
01050101103;2;10333_10373_
01050101104;4;10335_
01050101106;4;10335_
01050101107;4;10335_
01050101108;4;10335_
01050101109;4;10335_
01050101111;2;10333_10373_
01050101112;2;10333_10373_
01050101113;2;10333_10373_
01050101115;4;10335_
01050101116;52;11644_
01050101117;2;10333_10373_
01050101118;52;11644_
01050101119;2;10333_10373_
01050101202;126;20830_
01050101203;2;10333_10373_
01050101204;2;10333_10373_
01050101205;2;10333_10373_
01050101206;2;10333_10373_
01050101207;2;10333_10373_
01050101208;2;10333_10373_
01050101209;2;10333_10373_
01050101210;2;10333_10373_
01050101301;2;10333_10373_
01050101302;2;10333_10373_
01050101303;2;10333_10373_
01050101304;2;10333_10373_
01050101305;2;10333_10373_
01050101306;2;10333_10373_
01050101307;2;10333_10373_
01050101308;2;10333_10373_
01050101309;2;10333_10373_
01050101310;2;10333_10373_
01050101311;2;10333_10373_
01050101312;2;10333_10373_
01050101313;2;10333_10373_
01050101314;2;10333_10373_
01050101315;2;10333_10373_
01050200101;113;18674_
01050200102;61;18487_
01050200104;6;10337_
01050200105;61;18487_
01050200106;61;18487_
01050200108;61;18487_
01050200109;61;18487_
01050200111;113;18674_
01050200112;8;10340_
01050200113;113;18674_
01050200114;113;18674_
01050200201;113;18674_
01050200202;113;18674_
01050200203;6;10337_
01050200204;6;10337_
01050200205;6;10337_
01050200206;6;10337_
01050200207;6;10337_
01050200208;12;10344_10368_
01050200209;6;10337_
01050200210;6;10337_
01050200301;6;10337_
01050200302;112;18673_18675_
01050200303;6;10337_
01050200304;112;18673_18675_
01050200305;112;18673_18675_
01050200306;112;18673_18675_
01050200307;112;18673_18675_
01050200308;112;18673_18675_
01050200309;112;18673_18675_
01050200310;62;18488_
01050200311;62;18488_
01050200312;62;18488_
01050200313;62;18488_
01050200401;7;10338_
01050200402;62;18488_
01050200403;62;18488_
01050200404;62;18488_
01050200405;62;18488_
01050200406;62;18488_
01050200407;62;18488_
01050200409;7;10338_
01050200410;7;10338_
01050200501;12;10344_10368_
01050200502;12;10344_10368_
01050200503;112;18673_18675_
01050200504;12;10344_10368_
01050200505;112;18673_18675_
01050200506;12;10344_10368_
01050200507;8;10340_
01050200508;12;10344_10368_
01050200601;7;10338_
01050200602;7;10338_
01050200603;7;10338_
01050200604;7;10338_
