OBJECTID,SHAPESTArea,SHAPESTLength,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,AnoAberturaEmpreendimento,ClassificacaoTdP,DataUltClassifF,ValidadeClassif,ParecerPostClassif,DataPostClassif,AtribuicaoUT,RecTurNatureza,CertifAmbiental,DesigCertifAmbiental,CertifQualServ,DesigCertifQualServ,OutrasCertifPremios,DesigOutrasCertif,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,NUTSI,ERT,PNCT,RNAP,RedeNatura2000Global,RedeNatura2000Sitios,RedeNatura2000ZPE,FaixaCosteira,ZonaCosteira,ZonaTerrestreProtecao,LimitePROT,LimitePOC,LimiteAlbufeiras,UNESCO,Geoparques,Biosfera,RedeAldeias,FreguesiasCosteiras,NUTSIIICosteiras,DataAtualiza,SeloCleanSafe,RNET
8787986,5.533203125,8.35028370092556,1,Casa do Silvério,Fundação Eça de Queiroz,Fundação Eça de Queiroz,CasaDeCampo,0,4,7,3,1,0,0,0,NaoIntegra,,Não,Sim,70,Não, ,2002,NA,2015/12/13 00:00:00+00,2020/12/13 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,www.feq.pt,feq@feq.pt,"Caminho Particular de Tormes, n.º 35",4640-424,Santa Cruz do Douro,"41,1248767553991 ; -8,00417188994067",Fiavel,União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,Baião,Porto,Tâmega e Sousa,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2019/07/18 00:00:00+00,Sim,1
8787987,309.446044921875,74.4255130886948,100,Hotel Made Inn,Júlio Bento Marques Pereira Serralha,HORIZONTES RENOVADOS LDA,Hotel,2,28,52,28,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Sala de TV,2009,Sim,2015/10/09 00:00:00+00,2020/10/09 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.madeinn.com.pt,geral@madeinn.com.pt,"Rua Vicente Vaz das Vacas, nº 22",8500-746,Portimão,"37,1407300077331 ; -8,53727622336206",Fiavel,Portimão,Portimão,Faro,Algarve,Algarve,Continente,Região de Turismo do Algarve,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Não Abrangido,Não Abrangido,Algarve,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Sim,100
8787988,35532.4111328125,855.662221490417,1000,Herdade Naveterra,SOCIEDADE AGROTURISTICA DE JUROMENHA LDA,SOCIEDADE AGROTURISTICA DE JUROMENHA LDA,HotelRural,3,11,22,5,6,0,0,0,NaoIntegra,,Não,Sim,0,Não,Piscina exterior,2008,Sim,2019/07/17 00:00:00+00,2024/07/17 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.hotelnaveterra.com,naveterra.hrural@hotmail.com,Herdade Nave Baixo,7250-053,São Brás dos Matos,"38,7045171623246 ; -7,33207001774548",Fiavel,"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",Alandroal,Évora,Alentejo Central,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2019/07/23 00:00:00+00,Não,1000
8787989,5.58056640625,8.384315048911,10001,Consoantes D'Outono,"CONSOANTES D ´OUTONO \,TURISMO RURAL UNIPESSOAL","CONSOANTES D ´OUTONO \,TURISMO RURAL UNIPESSOAL",CasaDeCampo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,NA,2022/02/07 00:00:00+00,2027/02/07 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,helenacoelhosalazar@hotmail.com,Rua da Leira n º 334,4815-004,SÃO FAUSTINO,"41.39342 ; -8.27637",PoucoFiavel,União das freguesias de Tabuadelo e São Faustino,Guimarães,Braga,Ave,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/07 00:00:00+00,Não,10001
8787990,5.265625,8.14409688536513,10003,A Burguesa - Guest House,Luís Diogo Ventura Gomes,Terraços da Vila - Atividades Turísticas Lda,CasaDeCampo,0,8,16,7,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,,lgomes.projects@gmail.com,"Rua de Santo Amaro, nº 41",7320-177,CASTELO DE VIDE,"39.41676 ; -7.45514",Fiavel,Santa Maria da Devesa,Castelo de Vide,Portalegre,Alto Alentejo,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Parque Natural - Serra de Sao Mamede,Rede Natura 2000 (Global),São Mamede,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/06 00:00:00+00,Não,10003
8787991,5.44384765625,8.2813621096457,10006,Inn Caramulo Hotel,JOSÉ LUÍS FERREIRA LONGRA,LONGRA & LONGRA LDA.,Hotel,4,12,24,12,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina,1963,Sim,,,Não,,Não,Não,Não,,Não,,Não,,Não,http://www.inncaramulohotel.pt/,geral@inncaramulohotel.pt,Estrada Nacional 230,3475-209,CARAMULO,"40.5730914 ; -8.1709028",Fiavel,Guardão,Tondela,Viseu,Viseu Dão Lafões,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2022/04/08 00:00:00+00,Não,10006
8787992,4.95361328125,7.89999677444677,10007,Quinta da Bornacha,João José Baptista da Costa Ribeiro,"ECO - MONTESGARB, LDA",Agroturismo,0,5,10,3,2,0,0,0,NaoIntegra,,Não,Sim,0,Não,Piscina exterior e espaços de cowork,0,Nao,,,Não,,Não,Não,Não,,Não,,Não,,Não,www.quintadabornacha.com,ecomontesgarb@gmail.com,Travessa à Rua do Monte dos Brancos,8900-077,VILA NOVA DE CACELA,"37.1815584 ; -7.5228295",Fiavel,Vila Nova de Cacela,Vila Real de Santo António,Faro,Algarve,Algarve,Continente,Região de Turismo do Algarve,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Não abrangido,Não abrangido,Algarve,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/03/24 00:00:00+00,Não,10007
8787993,5.36865234375,8.2236591756402,10008,Casa da Urze,Maria Lourenço Sousa Up. Lda.,Maria Lourenço Sousa Up. Lda.,CasaDeCampo,0,2,3,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,,, ,,Não,Não,Não,,Não,,Não,,Não,,mjosesousa@sapo.pt,Talasnal,3200-120,LOUSÃ,"40.0915925 ; -8.2255569",Fiavel,União das freguesias de Lousã e Vilarinho,Lousã,Coimbra,Região de Coimbra,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não Abrangido,Rede Natura 2000 (Global),Serra da Lousã,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Aldeias de Xisto,,,2022/04/08 00:00:00+00,Não,10008
8787994,569.726806640625,129.252734846186,1001,Montechoro Clube 99,MONTECHORO EMPRESA DE INVESTIMENTOS TURISTICOS SA,MONTECHORO EMPRESA DE INVESTIMENTOS TURISTICOS SA,ApartamentosTuristicos,3,0,136,0,0,44,0,0,NaoIntegra,,Não,Não,0,Não, ,1995,Sim,2011/07/13 00:00:00+00,2015/07/13 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.hotelmontechoro.pt,comercial@grupomontechoro.com,Rua Alexandre O'Neill,8200-343,Albufeira,"37,1000154166486 ; -8,22775621129549",Fiavel,Albufeira e Olhos de Água,Albufeira,Faro,Algarve,Algarve,Continente,Região de Turismo do Algarve,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Algarve,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Não,1001
8787995,5.3642578125,8.22009826523105,10010,Mountain Whisper - Casa do Escultor,Dina Margarida Simões Amaral,"Mountain Whisper, Lda.",CasaDeCampo,0,2,4,0,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,2014,NA,2022/02/10 00:00:00+00,2027/02/10 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,www.mountainwhisper.pt,info@mountainWhisper.pt,Largo do Leão - Gondramaz,3220-533,VILA NOVA MCV,"40.0619201 ; -8.2726399",Fiavel,Vila Nova,Miranda do Corvo,Coimbra,Região de Coimbra,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não Abrangido,Rede Natura 2000 (Global),Serra da Lousã,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Aldeias de Xisto,,,2022/04/11 00:00:00+00,Sim,10010
